Date,Location,Site,Habitat,Transect,cca,dead_coral,algal_matrix,hard_coral,macroalgae,other_biota,rubble,rock,sand,soft_coral,silt,sponge,zooantharia
1992,Singapore,L2,Crest,1,0.0,0.0,17.4,62.1,0.0,1.7,18.0,0.0,0.0,0.0,0.0,0.9,0.0
1992,Singapore,L2,Crest,2,0.0,0.0,18.4,61.0,1.4,0.0,17.2,0.0,0.0,0.0,0.0,2.0,0.0
1992,Singapore,L2,Crest,3,0.0,0.0,22.2,50.9,0.3,6.9,15.1,0.0,0.0,0.0,1.1,3.6,0.0
1992,Singapore,L2,Crest,4,0.0,0.0,15.1,26.7,0.8,1.0,55.5,0.0,0.0,0.0,0.0,1.1,0.0
1992,Singapore,L2,Crest,5,0.0,0.0,16.2,35.6,0.0,0.5,38.5,0.0,0.0,0.0,8.0,1.3,0.0
1992,Singapore,L4,Crest,1,0.0,0.0,12.0,3.0,30.7,0.4,40.1,0.0,0.0,13.7,0.0,0.3,0.0
1992,Singapore,L4,Crest,2,0.0,0.0,15.1,8.2,19.0,1.5,38.7,0.0,5.1,11.9,0.0,0.6,0.0
1992,Singapore,L4,Crest,3,0.0,0.0,10.7,0.5,3.3,0.0,45.9,0.0,14.0,25.7,0.0,0.0,0.0
1992,Singapore,L4,Crest,4,0.0,0.0,6.8,3.5,3.3,0.3,27.5,0.0,26.8,18.8,13.3,0.0,0.0
1992,Singapore,L4,Crest,5,2.0,0.0,6.0,1.5,1.3,0.0,13.5,0.0,54.8,20.0,0.0,1.0,0.0
1992,Singapore,S1,Crest,1,0.0,0.0,42.3,25.3,0.0,2.6,28.2,0.0,0.0,0.4,0.0,1.3,0.0
1992,Singapore,S1,Crest,2,0.0,0.0,28.2,15.1,0.0,0.8,55.8,0.0,0.0,0.0,0.0,0.2,0.0
1992,Singapore,S1,Crest,3,0.0,0.0,12.7,6.9,0.0,0.0,80.5,0.0,0.0,0.0,0.0,0.0,0.0
1992,Singapore,S1,Crest,4,0.7,2.5,25.3,31.2,6.8,12.4,16.9,0.0,0.0,2.7,0.0,1.7,0.0
1992,Singapore,S1,Crest,5,0.0,0.0,37.8,17.0,17.9,7.0,18.7,0.0,0.0,0.8,0.0,1.0,0.0
1992,Singapore,S2,Crest,1,0.0,0.0,17.9,64.1,0.0,1.5,15.2,0.0,0.0,0.4,0.0,1.0,0.0
1992,Singapore,S2,Crest,2,0.0,0.0,18.5,52.2,0.0,0.0,21.8,0.0,0.0,0.0,4.2,3.5,0.0
1992,Singapore,S2,Crest,3,0.0,0.0,10.4,63.2,0.0,2.0,19.2,0.0,0.0,0.0,2.0,3.3,0.0
1992,Singapore,S2,Crest,4,0.0,0.0,19.4,57.8,0.0,2.3,12.8,0.0,0.0,0.0,5.5,2.3,0.0
1992,Singapore,S2,Crest,5,0.0,0.0,25.0,60.9,0.0,3.6,2.8,0.0,0.0,0.0,5.9,2.0,0.0
1993,Singapore,H1,Crest,1,0.0,0.0,4.8,18.2,24.2,6.7,32.0,0.0,0.9,0.0,0.0,10.6,2.8
1993,Singapore,H1,Crest,2,0.0,0.0,24.1,28.5,27.5,0.8,19.3,0.0,0.0,0.0,0.0,0.0,0.0
1993,Singapore,H1,Crest,3,0.0,0.0,34.9,2.7,25.0,0.0,36.4,0.0,1.2,0.0,0.0,0.0,0.0
1993,Singapore,H1,Crest,4,0.0,0.0,29.5,1.2,7.0,0.0,56.0,0.0,0.8,0.0,1.5,4.3,0.0
1993,Singapore,H1,Crest,5,0.0,0.0,14.4,0.5,3.6,0.0,60.4,0.0,19.0,0.0,0.0,2.4,0.0
1993,Singapore,H2,Crest,1,0.0,0.0,11.5,64.0,10.0,1.3,7.3,0.0,1.4,0.0,0.0,4.5,0.3
