"","sim","year","w","slope","intercept","y","scenario","sim_total","yr_mean","above_mean"
"1165",39,25,-1.22665711206068,0,12.5652470579371,13.7919041699978,"Stable",39,32.1130306462067,0
"1166",39,26,-1.25101400457811,0,12.5652470579371,13.8162610625152,"Stable",39,31.7290013318459,0
"1167",39,27,0.147908132489002,0,12.5652470579371,12.4173389254481,"Stable",39,31.9847616379826,0
"1168",39,28,-1.44461258292865,0,12.5652470579371,14.0098596408657,"Stable",39,31.530508666158,0
"1169",39,29,-0.744769405194457,0,12.5652470579371,13.3100164631315,"Stable",39,31.5486864877245,0
"1170",39,30,1.14150543638179,0,12.5652470579371,11.4237416215553,"Stable",39,31.8466819784736,0
"1171",40,1,-2.05718276135596,0,42.7786993544726,44.8358821158285,"Stable",40,32.0842185012449,1
"1172",40,2,-2.80693475852033,0,42.7786993544726,45.5856341129929,"Stable",40,31.4832711680668,1
"1173",40,3,1.40106505255904,0,42.7786993544726,41.3776343019135,"Stable",40,31.3616868060296,1
"1174",40,4,-0.909970056517764,0,42.7786993544726,43.6886694109904,"Stable",40,32.0495109836764,1
"1175",40,5,-4.6833861634783,0,42.7786993544726,47.4620855179509,"Stable",40,31.3525657026439,1
"1176",40,6,-3.57943942562918,0,42.7786993544726,46.3581387801018,"Stable",40,31.2564941949427,1
"1177",40,7,1.01916677162433,0,42.7786993544726,41.7595325828483,"Stable",40,31.8500199653883,1
"1178",40,8,3.00326314193713,0,42.7786993544726,39.7754362125355,"Stable",40,31.3958010720882,1
"1179",40,9,6.08475534499813,0,42.7786993544726,36.6939440094745,"Stable",40,32.4224721270917,1
"1180",40,10,7.26613923301615,0,42.7786993544726,35.5125601214564,"Stable",40,31.5465679109786,1
"1181",40,11,-2.65996416552533,0,42.7786993544726,45.4386635199979,"Stable",40,32.080766685482,1
"1182",40,12,3.78611949733963,0,42.7786993544726,38.992579857133,"Stable",40,31.671113610724,1
"1183",40,13,3.01104244697842,0,42.7786993544726,39.7676569074942,"Stable",40,32.2273782139961,1
"1184",40,14,2.53706191744217,0,42.7786993544726,40.2416374370304,"Stable",40,31.1563238898745,1
"1185",40,15,4.94698481697893,0,42.7786993544726,37.8317145374937,"Stable",40,31.9078244040366,1
"1186",40,16,-0.85340633896147,0,42.7786993544726,43.6321056934341,"Stable",40,31.556215684359,1
"1187",40,17,-1.57219676380304,0,42.7786993544726,44.3508961182756,"Stable",40,31.6441451950973,1
"1188",40,18,-6.66587610546283,0,42.7786993544726,49.4445754599354,"Stable",40,31.9758508691779,1
"1189",40,19,-2.68260160950184,0,42.7786993544726,45.4613009639744,"Stable",40,31.7840061018813,1
"1190",40,20,4.38568491790788,0,42.7786993544726,38.3930144365647,"Stable",40,32.237239192334,1
"1191",40,21,-0.594190197397445,0,42.7786993544726,43.37288955187,"Stable",40,31.8684074293129,1
"1192",40,22,3.62680513597164,0,42.7786993544726,39.1518942185009,"Stable",40,31.8223361056448,1
"1193",40,23,-6.61249388180619,0,42.7786993544726,49.3911932362788,"Stable",40,31.6972658621526,1
"1194",40,24,1.8312474866505,0,42.7786993544726,40.9474518678221,"Stable",40,31.4045344138022,1
"1195",40,25,2.64084301656923,0,42.7786993544726,40.1378563379034,"Stable",40,32.1130306462067,1
"1196",40,26,-3.23452813456296,0,42.7786993544726,46.0132274890356,"Stable",40,31.7290013318459,1
"1197",40,27,-3.31270290683238,0,42.7786993544726,46.091402261305,"Stable",40,31.9847616379826,1
"1198",40,28,0.165999255700022,0,42.7786993544726,42.6127000987726,"Stable",40,31.530508666158,1
"1199",40,29,-2.52152791938757,0,42.7786993544726,45.3002272738602,"Stable",40,31.5486864877245,1
"1200",40,30,-3.90742102776633,0,42.7786993544726,46.6861203822389,"Stable",40,31.8466819784736,1
"1201",41,1,0.522520432128694,0,18.8687812513672,18.3462608192385,"Stable",41,32.0842185012449,0
"1202",41,2,-1.01766358229473,0,18.8687812513672,19.8864448336619,"Stable",41,31.4832711680668,0
"1203",41,3,4.27904143814069,0,18.8687812513672,14.5897398132265,"Stable",41,31.3616868060296,0
"1204",41,4,2.18633436424695,0,18.8687812513672,16.6824468871202,"Stable",41,32.0495109836764,0
"1205",41,5,-0.698617825470293,0,18.8687812513672,19.5673990768375,"Stable",41,31.3525657026439,0
"1206",41,6,4.07481086692533,0,18.8687812513672,14.7939703844418,"Stable",41,31.2564941949427,0
"1207",41,7,0.980970245008503,0,18.8687812513672,17.8878110063587,"Stable",41,31.8500199653883,0
"1208",41,8,-2.87511968097217,0,18.8687812513672,21.7439009323394,"Stable",41,31.3958010720882,0
"1209",41,9,-1.96496930603272,0,18.8687812513672,20.8337505573999,"Stable",41,32.4224721270917,0
"1210",41,10,0.880932916438567,0,18.8687812513672,17.9878483349286,"Stable",41,31.5465679109786,0
"1211",41,11,-0.608751768271979,0,18.8687812513672,19.4775330196392,"Stable",41,32.080766685482,0
"1212",41,12,0.14368894398676,0,18.8687812513672,18.7250923073804,"Stable",41,31.671113610724,0
"1213",41,13,1.87785887618851,0,18.8687812513672,16.9909223751787,"Stable",41,32.2273782139961,0
"1214",41,14,-0.762454423767885,0,18.8687812513672,19.6312356751351,"Stable",41,31.1563238898745,0
"1215",41,15,-2.50220522323095,0,18.8687812513672,21.3709864745981,"Stable",41,31.9078244040366,0
"1216",41,16,1.14974677944491,0,18.8687812513672,17.7190344719223,"Stable",41,31.556215684359,0
"1217",41,17,1.69445644281237,0,18.8687812513672,17.1743248085548,"Stable",41,31.6441451950973,0
"1218",41,18,2.29790037335876,0,18.8687812513672,16.5708808780084,"Stable",41,31.9758508691779,0
"1219",41,19,2.19700321811674,0,18.8687812513672,16.6717780332504,"Stable",41,31.7840061018813,0
"1220",41,20,-1.39882301510257,0,18.8687812513672,20.2676042664698,"Stable",41,32.237239192334,0
"1221",41,21,-2.95594697541323,0,18.8687812513672,21.8247282267804,"Stable",41,31.8684074293129,0
"1222",41,22,-0.129129433184911,0,18.8687812513672,18.9979106845521,"Stable",41,31.8223361056448,0
"1223",41,23,-2.87413757392475,0,18.8687812513672,21.7429188252919,"Stable",41,31.6972658621526,0
"1224",41,24,2.30369400547339,0,18.8687812513672,16.5650872458938,"Stable",41,31.4045344138022,0
"1225",41,25,0.634024540751533,0,18.8687812513672,18.2347567106156,"Stable",41,32.1130306462067,0
